Date,Open,High,Low,Close,Volume,Close Time
1617926400000,2.87760000,2.96700000,2.78490000,2.83960000,8155955.37000000,1618012799999
1618012800000,2.83970000,3.15750000,2.78390000,2.98960000,13085456.76000000,1618099199999
1618099200000,2.99300000,3.00460000,2.85000000,2.91810000,6512249.48000000,1618185599999
1618185600000,2.91810000,3.39560000,2.88520000,3.21560000,22697441.58000000,1618271999999
1618272000000,3.21630000,3.62500000,3.02450000,3.37150000,22955680.12000000,1618358399999
1618358400000,3.36810000,3.53350000,3.02000000,3.19220000,12392481.78000000,1618444799999
1618444800000,3.18630000,3.38650000,3.10010000,3.23920000,9155744.22000000,1618531199999
1618531200000,3.23790000,3.27230000,2.91450000,3.05960000,10057824.86000000,1618617599999
1618617600000,3.06330000,3.25000000,2.97090000,3.00010000,7611135.72000000,1618703999999
1618704000000,3.00020000,3.02880000,2.08440000,2.52930000,18646659.97000000,1618790399999
1618790400000,2.52960000,2.78430000,2.25000000,2.29660000,13683703.40000000,1618876799999
1618876800000,2.29420000,2.56120000,2.10000000,2.45280000,12194128.96000000,1618963199999
1618963200000,2.44710000,2.51000000,2.20960000,2.23000000,10794907.29000000,1619049599999
1619049600000,2.23380000,2.37180000,1.95790000,1.98610000,13361721.67000000,1619135999999
1619136000000,1.98050000,2.06550000,1.66000000,2.06540000,17919079.45000000,1619222399999
1619222400000,2.06160000,2.06500000,1.81980000,1.84900000,7208328.45000000,1619308799999
1619308800000,1.84900000,2.30000000,1.82000000,2.26160000,14931348.57000000,1619395199999
1619395200000,2.26170000,2.38780000,2.18000000,2.33870000,12176677.96000000,1619481599999
1619481600000,2.34010000,2.53000000,2.24980000,2.36270000,10164560.49000000,1619567999999
1619568000000,2.36250000,2.44700000,2.12420000,2.27050000,11239324.47000000,1619654399999
1619654400000,2.27180000,2.74190000,2.18100000,2.63180000,20932759.04000000,1619740799999
1619740800000,2.62960000,2.71070000,2.46690000,2.67110000,9594882.51000000,1619827199999
1619827200000,2.66890000,2.80000000,2.57520000,2.64400000,7367419.17000000,1619913599999
1619913600000,2.64270000,2.99800000,2.46660000,2.89410000,15472594.67000000,1619999999999
1620000000000,2.89350000,3.10000000,2.78370000,2.84670000,15130417.89000000,1620086399999
1620086400000,2.84770000,2.85000000,2.40590000,2.44950000,13584488.99000000,1620172799999
1620172800000,2.45310000,2.68880000,2.42590000,2.66510000,7971387.79000000,1620259199999
1620259200000,2.66510000,2.84750000,2.48660000,2.60280000,13540944.69000000,1620345599999
1620345600000,2.60580000,2.64960000,2.43500000,2.52700000,8806311.10000000,1620431999999
1620432000000,2.52590000,2.65510000,2.47620000,2.50520000,7818819.25000000,1620518399999
1620518400000,2.50600000,2.55470000,2.29700000,2.41110000,8028957.95000000,1620604799999
1620604800000,2.41110000,2.53600000,2.00000000,2.15710000,9593901.44000000,1620691199999
1620691200000,2.15880000,2.27400000,2.09260000,2.24330000,7476325.40000000,1620777599999
1620777600000,2.24380000,2.33630000,1.85760000,1.88850000,8835701.28000000,1620863999999
1620864000000,1.90440000,2.12000000,1.80000000,1.97020000,10998944.85000000,1620950399999
1620950400000,1.96950000,2.15610000,1.91340000,2.05270000,6844155.43000000,1621036799999
1621036800000,2.05280000,2.09360000,1.84110000,1.86300000,6473471.16000000,1621123199999
1621123200000,1.86470000,2.10000000,1.81880000,1.96570000,8793459.52000000,1621209599999
1621209600000,1.96680000,1.96690000,1.69740000,1.89190000,10381591.45000000,1621295999999
1621296000000,1.89180000,2.00860000,1.80680000,1.87170000,7233499.99000000,1621382399999
1621382400000,1.86870000,1.90670000,0.82000000,1.13000000,24417953.47000000,1621468799999
1621468800000,1.13610000,1.38780000,1.00110000,1.26860000,13650816.19000000,1621555199999
1621555200000,1.26830000,1.33720000,0.86690000,1.05970000,17300087.90000000,1621641599999
1621641600000,1.06030000,1.10000000,0.92440000,0.95940000,9757646.49000000,1621727999999
1621728000000,0.96150000,1.01850000,0.62920000,0.81240000,19177942.06000000,1621814399999
1621814400000,0.81260000,1.07900000,0.79650000,1.06030000,12150015.81000000,1621900799999
1621900800000,1.06050000,1.13880000,0.91350000,1.02630000,11462388.01000000,1621987199999
